,강의아이디,유저아이디,강의만족도,학습량,난이도,강의력,성취감,강의평
264,125,일단먹어봐야,5,4,3,5,4,"정보대 학생이라면 듣게되는 아잉 교수님이십니다
출석은 매번 부르시지만 이캠에서 넘어오는건 좀 봐주십니다
교수님이 굉장히 열정적인 분이시라 좋은 것 같습니다"
265,125,효소,5,5,4,5,5,"평가 기준이 많이 세분화되어 있다는 점이 장점이자 단점인 것 같습니다.
교수님이 과제 하나 하나 정말 꼼꼼하게 보시고 피드백도 개인별로 해주셔서 좋았습니다."
266,126,코잼민,5,4,2,5,3,불필요한 평가 없이 실질적인 배움을 얻어갈 수 있게끔 노력하십니다. 매 학기에 강의를 여실 때마다 학생들의 부담도 줄여 주시고자 하시는 것 같습니다. 무난한 교수님이라 생각합니다.
267,126,굴너구리,5,5,3,5,4,다른 학과의 아잉에 비해서 출석을 굉장히 깐깐하게 보십니다. 결석 1회당 1점씩 감점입니다. 수업은 대체적으로 잘하십니다. 절대평가인것에 비해 학점 받기는 생각보다 어려우니 퀴즈나 과제를 열심히 하시고 신중하게 검토하시는 것이 좋습니다.
268,126,Csepotato,5,3,3,5,5,"아잉1에 비해서 과제나 퀴즈등 조금 널널했던 것 같습니다.
또한 교수님이 수강생들을 나름 배려해주셨습니다. 과제나 시험의 채점은 명확한 채점 기준을 기반으로 하시는데,
그 채점기준표를 공개해주셔서 이를 보고 잘 준비하신다면 좋은 점수 받으실 수 있으실 겁니다.
전 학술적인 영어를 배울 수 있었던 점에서 만족도가 상당히 높았습니다.
학점도 컷에 아슬아슬하게 걸칠 가능성이 있는 수강생은 최대한 높은 학점을 받을 수 있도록 해주셨습니다."
269,126,린제,5,2,1,5,4,"정보대라면 누구나 아는 크산 교수님. 1학기에는 아쉽게 A를 받았지만, 2학기에는 A+ 받음. 일각에서는 학점 받기 어렵다고 할 수 있고 충분히 공감하는 바이지만, 교수님께서 올려주시는 평가 기준 그대로 평가해주시기 때문에 이를 지킨다면 A는 쉽게 얻을 수 있다고 생각한다."
270,126,정보통신개론,5,4,3,4,3,"개인적으로는 아잉1보다 아잉2가 훨씬 편했습니다.. 교수님이 평가를 전보다 후하게 하신 것 같기도 하구요 설문조사를 만들고 다른 사람들에게 돌려 레포트를 쓰는 활동 하나, 자유 주제로 발표하는 활동 하나 이렇게 크게 두개로 구성된다고 할 수 있는데 두 활동 모두 점수를 크게 깎지 않으셨습니다. 평가기준(rubric)에 맞게 꼼꼼히 작성하신다면 좋은 결과 있을거라고 생각합니다. 이 글을 보고 있을 데과 컴과 파이팅!"
271,126,rmncnm,4,2,2,4,4,"영어를 실전적으로 사용하는 방법을 배우는 수업입니다.

보고서나 논문을 작성할 때 APA 7th edition을 이용하여 다른 논문을 인용하는 방법을 배우고 영어로 발표할 때 사용하는 어휘와 문장을 배웁니다.

직접 보고서를 작성해보기도 합니다.

출석은 매일 하시고 학점은 절대평가 점수에 맞춰 주십니다."
272,126,tmdghks12,5,3,2,5,5,"정보대학 학생들을 가르쳐주시는 크산 교수님의 아잉 수업입니다.

과제와 활동으로는 설문지 작성, 간단한 조사/연구 보고서 작성(중간 대체), 발표(기말 대체)가 진행되었습니다. 또한, 수업 시간에 학우들과 함께 영어로 대화할 수 있는 기회를 많이 제공해주셔서 영어를 연습하는 데에 큰 도움이 되었습니다. 또한, 과제의 채점 기준이 명확하게 공개되어 있고 이에 대한 피드백도 명확하게 제시해주셔서 이를 잘 지킨다면 충분히 좋은 점수를 받을 수 있었습니다. 특히 교수님께서 매우 친절하셔서 과제나 수업 관련된 질문에 매우 친절하게 답해주셔서 큰 도움이 되었습니다.

확실히 1학점 치고는 학습량이 많다고 생각하지만 아잉1에서보다는 학습량이 적다고 느꼈습니다."
273,129,rfetdrdrgq,3,5,3,3,3,"팀원과 함께하는 활동 위주의 수업이 매우 많음. 에세이, 리딩 시험을 중간에 보며 기말에는 조별 발표를 해야함. 듣는다면 꽤 피곤한 수업일 수 있음."
274,129,서머,3,2,3,2,1,"출석 안 부르시는데 이름 다 외우셔서 언제오고 안 오는지 다 알고 계심
솔직히 들을만함
시험도 적당함
기말에는 팀플 발표있는데 대본 읽으면 됨
적당히 하니까 적당한 학점 받음"
275,130,리바이아커만,1,5,5,1,1,"듣지 마세요
하는 것도 많고 주위 아잉 친구들이랑 비교해 보면 죄다 놀랍니다 초잉 맞냐고
그리고 채점 기준도 불명확하고요 교수님이 짜증이 되게 많아보이십니다
엥간하면 듣지마세요"
276,130,lsj1219,1,5,5,1,3,"교수님께서 시키시는 게 매번 정말 초잉치고 많습니다. 피드백을 잘해주신다는 것은 장점이지만,,, 정말 학점 잘 안주시고 하라는 걸 다하면 A+이 나오지만 그것을 불가능하게 내주십니다… 그리고 교수님께서 하시는 강의 내용이 뒷자리에 있으면 잘 들리지 않습니다."
277,131,당고열개,2,5,3,1,1,"정정때 도망갈까 말까 백 번 정도 고민했는데 도망가지 않은 것을 한 학기 내내 후회했습니다.. 
초잉치고 시키는게 너무 많아요 그리고 하나 하나가 점수에 들어가서 신경쓸게 너무 많았습니다
특히 한 학기동안 에세이를 중점적으로 수업하셨는데 피드백의 글씨를 알아볼 수가 없어서 같이 듣는 친구랑 글씨 해독만 했어요ㅜ
배우는 것도 뭔지 잘 모르겠고 1학기때에 비해서 양이 너무 많았습니다
그리고 결석을 4번까지인가? 봐주는데 아마 출석 점수는 안깎아도 참여도로 엄청 깎으시는거 같아요! 결석하면 안될듯..... 
한 가지 좋은 점은 영어를 천천히 해주셔서 알아듣긴 쉬운것 밖에 없었습니당
학점도  들인 노력에 비해서 그저 그래요.. 다른 교수님거 들었으면 더 잘 나왔을것 같네요"
278,131,먐먐먐먐먐,5,1,2,4,3,친절한 교수님이십니다. 출석은 매번 부르시고요. 수업 부담은 전혀 없고 과제도 딱히 없습니다. 수업시간에 열심히 참여하기만 하면 되는 수업
279,131,1239,5,2,2,2,2,"출결, 수업 참여도를 가장 중요하게 생각하십니다. 과제는 매주 있는 편입니다. 학점은 한만큼 주십니다"
280,131,01h,4,3,4,3,4,"교수님께서 학생의 수준을 고려하셔서 천천히 말해 주십니다. 그럼에도 발음이 콩글리쉬가 아니라 원어민 발음이라 알아듣기가 조금 힘들었습니다.
교수님이 요구하는 것이 매우 많으십니다. 과제가 많다는 게 아니라 시험이나 과제에서 지켜야 할 사항이 매우 많습니다. 과제할 때 전부 고려하기 힘들 정도였습니다. 과제하다 보면 정확히 무엇을 요구하는 건지 헷갈립니다.
또한 교수님이 올려주시는 수업 자료가 전부 읽어보기 힘들 정도로 많습니다. 많이 배워가고 싶은 사람에게는 좋은 점일 수 있으나 개인적으로는 힘들었습니다.
피드백은 꼼꼼히 해 주시는데 교수님께서 악필이라 무슨 말인지 읽기가 어려웠습니다.
노력한 것에 비해 학점은 많이 잘 받았습니다... 아마 기말 발표로 뒤집은 것 같습니다.
그래도 절대로 꿀강은 아니니 꿀강을 노린다면 다른 강의를 듣기를 추천합니다."
281,131,Amanecha,4,3,2,3,2,A+받겠다는 생각만 버리면 참 좋은수업이다. 과제도 별로 없고 시험 채점도 극상위 점수를 받을 게 아니라면 후하게 주시는 편임. 다만 늦게 제출하거나..같은 경우에는 난감해질 수 있다
282,131,ㅁㅁㅁㅁㅁㄴㄴ,3,5,4,2,3,"교수님 자체는 말이 많으신 편은 아니지만 그래도 친근하게 대해주시려고 함.
하지만 수업을 진행하다가 갑자기 그 다음주에 수업 와보면 완전 다른걸 하고 있는 경우가 꽤 있었어서
뭘 하고자 하는지 잘 모르겠다는 느낌이 꽤나 들었어서 그런 점은 많이 아쉬웠음.
그 외에도 이것저것 시키는 것이 많아서 1학점 치고 꽤나 힘이 들었음

딱히 추천..?하지는 않고 다른교수님 잡을 수 있으면 잡으세요. 사실 저도 다른 교수님 잡으려다가 실패해서 주운거에요"
283,131,sky4us,2,5,4,2,1,누가 괜찮다길래 들었는데 진짜 너무 빡셈. 딱히 할 게 많은 건 아니지만 기준이 너무 많아서 외우기가 힘들 정도입니다. 열심히 하지 않는다면 절대 학점을 잘 받을 수가 없는 교수님입니다. 1학점짜리 교양이고 초잉인데 좀 과합니다.... 날먹할 생각이시면 도망가세요. 이분은 많이 까다로우신 편입니다. 발음은 되게 좋으셔서 잘 들립니다. 이해는 되지만 양이 많아서 저는 그냥... 넘겼습니다. 하라는 대로 할 자신 있으면 하세요.
284,132,고노도로,5,4,2,5,4,"아주 좋은 교수님이십니다. 발음이나 학생들 바라보시는 표정이나 흠잡을 곳이 없습니다.
1학기에 에이쁠이 나와서 2학기에도 들었고 잘한 것 같은데 이번에는 초잉이라 에이쁠을 잘 안 주신 것 같네요.
매일 나와야 하고 해야할 것들이 은근 있지만 나쁜 선택은 아닙니다."
285,132,sunwoo1561,4,3,3,3,3,매일 출석을 부르신다. 토론을 자주하는 편이다. 이해 못한 학생들을 이해할 수 있게 최대한 잘 이끌어 주시려고 노력한다. 학점은 잘 주진 않으신다.
286,132,전필,4,4,3,4,3,1학기때 들었던 교수님에 비해서 과제가 좀 많긴 한데 할만한 정도였습니다. 교수님이 학생 한명한명 관심을 가지고 잘 지도해주십니다.
287,133,안암이란,4,4,3,5,3,"수업시간마다 새로운걸 배워갈 수 있습니다. 중간은 봤고, 기말은 발표로 평가했습니다. 발표 같은 활동에 적극적으로 참여하신다면 좋을 것 같습니다."
288,133,악플러,5,2,2,4,3,"출석은 2회 결석까지 감점이 없으며, 매 수업시마다 옆에 앉은 분들과 회화하는 시간이 10분정도 있습니다. 앞에 나가서 발표하는 과정이 좀 있습니다."
289,133,poey,4,4,4,5,5,교수님 발음이 좋으시고 강의력도 좋지만 채점 기준이 좀 빡빡하다고 느껴졌습니다. 난이도가 좀 있지만 성취감 있는 강의를 듣고 싶으시다면 추천합니다.
290,133,두룸이,5,2,1,5,5,교수님 엄청 착하십니다 아잉1도 같은 분걸 들었는데 이름도 기억해주셔서 너무 감사했습니다. 과제 적은 편이고 열심히 하고 출석만 잘 지키면 학점 매우매우 잘 주십니다!
291,133,곰고밍,5,2,3,5,5,교수님께서 발음이 워낙 좋으셔서 수업을 이해하는 데 큰 무리가 없고 평가가 굉장히 명쾌하다는 것이 장점입니다. 출석은 매번 부르셨고 과제는 대부분 수업 시간 내 해결할 수 있어 좋았습니다. 중간고사는 지필로 평가했으며 기말고사는 다른 분반과 마찬가지로 발표로 평가하셨고 지필은 따로 없었습니다.    초잉임에도 열심히만 참여하면 A+ 받을 수 있고 강의에서 배워갈 수 있는 것이 많기 때문에 초잉이시라면 조이스 교수님 추천합니다.
292,134,핀셋,5,2,2,5,4,"[강의]
딕션, 속도 모두 편안. 쉬운 단어 위주로 사용하셔서 듣기도 수월해요. 
강의 내용도 실용적이고 영어학습에 도움이 된다고 느낌. 
2학기는 발표 위주로 진행된다는 차이점이 있었네요. 

[과제]
큰 부담은 없음. 주어지는 과제 양식 잘 맞춰서 제때 제출하면 됨. 
자기성찰평가 잊기 쉬우니 주의. 

[시험]
격식 표현 / 학술적 글쓰기 등이 출제되었음. 
수업시간에 하는 것 잘 따라가면 큰 어려움은 없습니다. 

조이스 교수님 꼭꼭 들으세요....."
293,134,4호선에서6호선환승,5,5,4,4,5,"실제로 잘 쓸 수 있는 영어 표현들(단위 읽는 법이나 출처 표기법 등)을 배울 수 있어서 좋았음. 이메일 쓰기, 발표 2번(스크립트 제출), 에세이, 시험이 다 있어서 1학점 치고는 과제와 학습량이 많은 편임. 1학기도 조이스 교수님 수업을 들었는데, 1학기에 비해 난이도가 높아졌다고 느꼈고 학점도 떨어짐. 그래도 A라서 일반족으로 초잉 최고학점이 A인 걸 생각하면 만족함."
294,134,집에갈래,3,5,3,5,3,"초잉 강의 치고는 할 게 많습니다. 팀티칭, 작문과제, 프레젠테이션 과제 2번에다가 작은 조별과제 하나도 있습니다. 수업 시간 내에 대부분 해결한다는 게 장점이지만 그럼에도 부담스러운 양이었습니다. 강의 초반부에는 과제 없이 대부분의 제출물을 수업 시간에 해결해서 좋았으나 시간이 갈수록 제한된 수업 시간과 시수 내에 많은 내용을 담으려고 하신 듯 보여 과제까지 조금씩 늘어나는 느낌이었습니다.

교수님께서는 매우 유하시고 유쾌하신 분입니다. 수업시간에 종종 한국어를 사용하시고, 학생들이 한국어를 사용하는 것을 들으셨을 텐데도 불구하고 다른 교수님들과는 달리 크게 별 말씀 안 하십니다. 학생들 이름 하나하나 기억해서 불러주시고, 발표와 작문 과제 이후에 개인 피드백까지 진행해주십니다. 열정이 넘치시는 교수님이라고 생각합니다."
295,134,ielafei,4,5,4,5,4,1학점에 비해 하는게 너무 많은 것 같아요. 그런데 교수님 발음이랑 수업 내용은 정말 좋아요
296,134,나다인마,5,3,3,5,5,절평으로 깔끔하게 깎으시긴 하는데 성적도 구체적으로 제시해주시고 다른 교수님들에 비해 확실히 학점을 잘 주십니다. 잡을수만 있으면 그냥 잡으세요. 넘사 교수님이십니다. 학습량이 조금 있긴 한데 그냥 가서 재밌게 즐기시다 오시면 되십니다. 영어 전혀 못하는 저도 그냥 재밌게 수업듣고 참여했어요.
297,134,Cjamm,5,1,1,5,3,"초잉이 뭐 별개있냐 하겠지만, 정말 좋았습니다. 회화 위주로 수업을 많이하시고 내시는 과제나 시험도 큰 부담없이 잘 수강했습니다! 추천합니다!"
298,134,마크야,3,4,4,4,3,하라는거 다 했는데 학점이 의문사 했어요 저는 초잉인데 이게 초잉인가 싶어요 좀 속상하지만 제가 부족한 탓인가봐요..
299,135,죠르디선물상자,5,4,3,5,4,"발표 3번 정도 있는데 대본 싹 다 외워서 몇 분씩 혼자 발표하는 거라 부담감이 상당했음. 그렇지만 그만큼 학기 내내 얻은 것도 많아서... 후회는 전혀 안 되는 강의. 심지어 재밌음. 매 수업 시작 때 간단하게 짝 지어서 스몰토크 하는 시간을 주셔서 좋은 친구들을 많이 사귈 수 있었음. 강의 내용이 알차서 듣다보면 스피킹도 늘고 발표실력도 늘음. 한 번도 수업 중에 이걸 왜 시키는 거지? 하는 생각이 안 들었음. 다 필요한 것만 시켜주심. 적다보니까 장점이 정말 많아서 평점 5가 아깝지 않음.
교수님이 좋으시니 빡셀 것 같아 걱정되더라도 학기 널널하면 그냥 한 번 들어보시는 걸 추천해요."
300,135,초람,4,1,3,5,2,"교수님께서 전달력이 좋고 강의를 잘 하십니다. 내용 자체도 초잉인 만큼 어렵지 않습니다.
다만 중간고사 시험을 하나 보는데, 교수님의 원하는 답을 실수 없이 정확하게 써내는 것이 중요합니다. 알 수 없는 부분에서 감점을 당하는 일이 발생할 수 있으니 교수님께서 강조하시는 포인트를 수업 때 메모해두시는 것만으로도 충분합니다. 물론 감점당한 부분에 관해서도 친절하게 그 이유를 설명해주십니다. 
개인적으로 추천합니다."
301,135,AAA0,4,5,4,4,3,교수님께서 수업을 재미있고 유쾌하게 구성하려 노력하시는 면이 인상 깊었습니다. 질문이 있을 때마다 친절하게 답해주셔서 좋았습니다.
302,135,Moonnight,4,3,2,5,4,"1학기 때도 꽤 만족하여 들은 강의입니다. 초잉인 것에 비해 과제가 많고 어렵다는 평이 많았지만, 다른 강의에 비해서는 그다지 난이도가 높거나 힘들지는 않습니다. 매번 출석체크를 진행하시지만 무단 결석 3번까지는 결석 감점이 없다는 점은 아주 좋습니다ㅎㅎ
 중간은 배운 내용 (formal language, essay 등) 을 토대로 지필 시험으로 치뤄졌으며, 기말은 ppt 발표(5~6분)로 진행되었습니다. 실습 과제는 점수가 후하다고 느낀 반면 지필은 깐깐하게 매기시는 것 같습니다. 아무래도 지필의 경우 난이도가 대학생임을 감안했을 때 그리 높지 않아서가 아닌가 생각이 듭니다."
303,135,dariek,3,3,3,4,3,"분명히 초잉인데 웬만한 아잉보다 빡세다. 

교수님은 굉장히 젠틀하시고 아나운서 출신이신지라 발음과 단어 사용이 매우 정확하시다.
언제나 친절하시고 학생들을 좋아시는 게 눈에 보일 정도
대신 매 시간 엄청난 과제가 나오고 개인 / 조별 발표와 토론, 심지어 시험까지 쳐야 한다…
강의실을 계속 돌아다니시고 한 명씩 계속 질문을 던지시는 성격이셔서 아무리 뒤에 앉아도 딴짓 같은 건 절대 못한다.

학점은 시키는 거 성실히 잘 하면 받을 수 있는 만큼 받아가는 정도…?
뭔가 에제는 쉽고 에쁠은 어려운 전형적인 초잉 학점 컷

초잉인데 아잉같은 강의를 듣고 싶은 사람들이 들으면 아주 기분좋은 강의가 될 수 있다.
(근데 그런 사람들이 있긴 한가...?)"
304,135,데학셍,5,4,3,5,4,"명강러에게 추천(꿀강은...아닙니디ㅏ,,,)
발표가 두 번이라 조금 부담스러웠지만 매번 수업을 열심히 준비하셔서 배우는 건 많음. 50분을 이렇게 알차게 쓸 수 있다는 걸 알게 됩니다
굉장히 친절하시고 발음도 알아듣기 쉬워서 좋아요"
305,135,moonminnie,4,4,3,3,3,"1학점이면서 시키는 거 더럽게 많아요
차라리 아잉을 가는게 나은 거 같습니다.
교수님이 철저하게 기준에 따라서 자잘하게 점수를 깎기 때문에 에쁠 받기가 어렵습니다.
그래도 자신이 있다면 도전해보세요
중간 시험 보고 발표는 개인 발표 2번? 3번? 정도 있고 조별 발표도 한 번 있어요"
306,135,Coulomb,5,3,3,5,5,"최고의 아잉 교수님이 아닐까 생각합니다.
정말 친절하시고 학생들에게 관심이 많으십니다.
더 좋은 성취를 위해서 항상 도움을 주시고
영어 발음 또한 한국인이 듣기에 최적화되어 있습니다.
초잉을 듣고자 하신다면 이 교수님을 강추합니다."
307,135,제발종강좀요,4,3,3,4,5,"학생들의 편의를 잘 봐주신다.
중간고사 시험, 에세이 1개, 발표 2번으로 기억하는데 과제와 시험 퀄리티에 비해서 학점을 잘 받았다는 느낌이 든다. 위 활동들을 수행하면서 교수님에게 많은 도움을 받을 수 있기 때문에 큰 부담감은 없지만, 발표하는 것을 좋아하지 않는다면 발표가 적은 강의를 선택하는 것도 나쁘지 않다. 하지만 발표에서 성의를 보여준다면 내용은 크게 신경쓰시지 않으므로 학점을 원한다면 추천하는 강의."
308,135,ddd23,4,1,1,5,4,수업을 정말 잘하셔서 언제나 즐거웠습니다. 이후에 궁금한 점이나 과제에 대한 피드백도 원하면 주셔서 만족스러웠습니다. 다만 에이쁠을 받기에는 다들 열심히 해서 쉽지 않다고 느껴집니다.
309,136,타락한호이,4,2,2,4,2,"기존에는 중간, 기말기간 모두 수업에 참여하지 않아 꿀강 of 꿀강이었지만, 이번 학기부터 기말 시험기간에는 수업에 참여해야되서 메리트가 많이 떨어진 교수님입니다. 발표를 굉장히 중시한다는 단점이 존재하지만, 이에 자신감이 있다면 오히려 쉽게 학점을 따실 수 있을 겁니다.(도커티 교수님 수강평이었는데 잘못 올렸네요…ㅎ 도커티 들으세요 도커티 좋아요)"
310,136,쿠무,4,3,3,4,4,"일단 수업을 진행하시면서, 학생들이 말을 많이 하는 것을 중요하게 생각하시는 것 같습니다. 매 수업마다 짝을 지어 거의 2-30분은 대화를 해야합니다. 하지만 유창하게 말을 하지 않더라도 교수님이 다 이해해주시기 때문에 크게 스트레스를 받지는 않았습니다. 학점은 칼절평입니다."
311,136,게으른사람,2,5,5,5,3,"영어를 굉장히 못하는 사람으로서 너무 어려운 강의였습니다. 초급임에도 불구하고 중급이거나, 그 이상의 난이도를 가진 강의라고 생각합니다. 과제는 없지만 중간은 시험을 보며, 기말에는 조별과제로 대체합니다. 단어시험도 두번 보기 때문에 영어단어에 약하고 영어를 못하는 사람이라면 저처럼 매우 낮은 학점을 받아갈 것입니다."
312,136,우클룰레,5,2,2,5,4,정말 일말의 기대도 하지 않은 채 강의평도 하나 없는 강의를 시간에만 맞춰서 잡았었습니다. 허나 그 결과는 대만족. 세상 유쾌하신  Wellbaum교수님을 뵐 수 있어서 2학기가 아주 행복했습니다. 숙제도 고뇌도 하나 없이 수업시간 동안 잘 웃고만 갑니다. 교수님 사랑합니다.
313,136,yangeuiji,5,5,3,5,5,"평가 기준 전부 공개 및 정확한 근거로 평가하십니다
고등학교 수행평가 시즌에 임하는 마음으로 수업에 임하면 좋은 성적 얻을 수 있습니다"
314,136,namuhangru,4,2,2,5,2,"초잉으로 무난합니다. 말 많이 하게 시키시는데 재밌습니다. 딱 초잉 평균 정도로 하시는 듯 합니다. 가끔 단어퀴즈를 공부하고, 기말발표를 외운 것 빼곤 따로 하는 게 없습니다."
315,136,kang0345,4,3,3,5,5,"교수님이 엄청 말을 많이 시키십니다. 처음에는 어색했는데 말 잘 못해도 기다려주시고 해서 크게 부담되지는 않았어요.

엄청 편하고 재밌게 진행되는 수업이에요. 열심히 했는데 초잉이어서 그런지 에쁠은 못 받았어요. 재밌는 수업이어서 추천합니당"
316,136,너굴상점,3,4,3,4,3,"교수님의 수업은 옆자리 학생과의 대화를 메인으로 이루어집니다. 또한 수업 중에 교실을 돌아다니면서 설문조사를 해야 하는 경우들도 있습니다.
저처럼 내향형인 학생들은 수업을 들을 때마다 기가 빨림을 자주, 그리고 많이 느꼈을 것입니다.
과제가 없다는 장점은 있지만, 단어시험 3번과 중간 지필 고사, 기말 발표 시험이 있습니다.
단어시험 범위에는 수능 영어 1등급임에도 잘 모르는 단어들(ex. 범죄에 사용되는 단어)이 상당히 많이 포진되어 있습니다. 아잉을 듣는 친구들에게 보여주면 다들 초잉이 아니라 어잉 아니냐며 놀랄 때가 많습니다. 
중간 지필 고사는 수업시간에 다루었던 지문들과 모든 내용들이 포함되어 범위도 상당히 많고 넓습니다. 수업시간에 집중하고 잘 들었다고 하더라도 1학점짜리 초잉치고 준비를 꽤 해야 했습니다. 교수님 별명이 괜히 헬범이 아닙니다.
그래도 단어시험과 중간고사에서 거의 틀리지 않는다면 기말 발표 시험에서 부담을 덜 받을 수 있을 것입니다.
저도 그랬지만, 대안이 없어 어쩔 수 없이 웰범 교수님의 수업을 듣게 되었고 좋은 점수를 받고자 한다면 지필 고사를 열심히 준비하시길 바랍니다.
기말 발표 시험의 경우, 시험 전에 교수님께서 채점 기준을 분명 언급해주시지만, 어디에서 감점되었는지의 여부는 전혀 확인할 수가 없어 솔직히 아직까지도 제가 받은 발표 점수가 잘 이해되지 않습니다. 대본을 거의 전부 외워오지 않는 한 감점이 많이 되는 것 같으니, A+을 받고 싶다면 대본 외우는 걸 디폴트로 생각하시는게 나을 겁니다.
교수님께서 수업 내용을 고심해서 학생들이 흥미를 가질 수 있는 주제들을 가져오시는 것 같고, 수업도 항상 열정적으로 해주십니다. 
교수님의 강의력은 좋은 편이지만, 꿀강도 아니고 내향형 사람들에게 추천하진 않습니다. 
그러나 아잉 명강을 찾고 있다거나 영어 말하기 연습을 자주 하고 싶으시다면 괜찮은 강의라고 생각합니다."
317,137,애딘,4,3,2,4,3,"에세이에 대해 기본 규격을 안 지킨 부분이 있어서 비쁠을 받았는데, 메일 드리고 점수 검토 드렸더니 총합과 수업 태도 반영하셔서 에제 주셨습니당... 수업 열심히 참여했다고 생각해서 에쁠 기대했는데 제 잘못이죠... 좀 아쉽긴 해요 ㅜ.ㅜ 그래도 역시 갓스티입니다, 제가 1년 동안 들었는데 항상 반응도 좋으시고, 친절하시고, 학생 생각도 많이 해주십니다. 아쉽게도 이번 학기를 마지막으로 한국을 떠나신다고 하셔서... 많이 많이 슬펐습니다. 컬스티 교수님만큼 좋은 초잉 교수님은 안 계실 것 같아요 ㅜㅜ... 교수님 또 한국 와주세용..."
318,137,diamond1234,5,2,1,5,4,"갓스티... 진짜진짜 천사같은 교수님이십니다. 학생들 진짜 신경 많이 써주시고, 학생들을 위하시는게 눈에 보이시는 교수님이십니다. 학점도 정말 잘 주세요! 저는 발표에서 크게 감점됐었는데도, 나머지 과제들 잘 해갔더니 무리 없이 A+ 받았습니다!! 아잉치고 과제도 많이 없었어서, 할거 없이 학점 잘 주시는 교수님을 원하면 무조건 들으라고 추천하는 교수님...이십니다만 이번 학기를 마지막으로 한국을 떠나신다고 하셨기에... 컬스티 교수님의 마지막 학기를 함께 할 수 있어서 정말 감사했습니다."
319,137,stel,4,2,3,3,2,에제가 나오긴 했지만 한학기동안 부담없이 들었으니 만족합니다 이번학기가 마지막 강의라고 하셔요
320,137,복숭아포도,5,2,2,2,2,그냥 무조건 컬스티!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 들으십시오!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
321,137,어흐으응,5,4,3,4,4,이학년이지만 일학년때 못들어서 이번에 듣게되었는데 마지막 강의셨다니ㅜㅜㅜ 이번에 들어서 다행이었고 학습과제는 1학기에 비해 적은 편은 아니었지만 충분히 다 할 수 있는 난이도였고 질문도 항상 친절하게 받아주셔서 감사했습니다. 초잉이지만 에이쁠도 주셨습니다!
322,137,포도맛오레오,5,3,1,5,5,컬스티 교수님 이번 수업을 마치고 한국을 떠나셔서 너무 아쉽다ㅠㅠ 성격 정말 좋으시고 학생들을 사랑하는게 느껴짐. 적극적으로 참가하다 보니 교수님과 친분도 쌓고 결과적으로 A+ 받았음!!
323,137,라떼,3,1,1,4,2,교수님께서 친절하시고 스윗하시다. 그리고 피드백을 한 명 한 명 잘 해주셨다. 과제도 별로 없다.
324,137,시간표짜자,5,2,1,5,3,"교수님이 항상 웃으면서 맞이해주시고 학생들에 대한 애정이 많은게 느껴져서 좋았습니다. 수업도 초잉인만큼 쉽게 진행되었고, 과제와 발표만 잘하면 학점도 잘 주신 것 같습니다."
325,137,escap,5,2,2,3,2,"출석체크는 수업이 시작하고 항상 하셨고, 중간에 에세이 제출 블랙보드와 서면으로 1번씩  내는것, 기말에는 에세이 내용을 바탕으로 프레젠테이션하는것 한번 있었습니다. 이건 초잉 공통인 것 같고요. 그냥 대답 잘 하고, 교수님이 하라는대로 하면 점수 잘 받습니다. 이번이 교수님 마지막 수업이었던게 너무 아쉽습니다."
326,137,goodboy,5,2,2,4,4,"교수님께서 매우 친절하시고 천천히 말씀하시려고 해요. 출석체크는 매일 하십니다. 중간고사는 대체과제로 틀린 문장 고쳐오기 방식이었고, 기말고사는 자유주제로 에세이 작성해서 ppt로 발표하는 방식이었습니다. 학점은 열심히만 하면 충분히 미화되는 것 같습니다."
327,138,IwantJongang,5,1,1,3,5,"Kirstie… 그녀는 신…
함께 1년동안 공부할 수 있었음에 감사합니다…
마지막 수업에서 이제 미국으로 떠나신다고 하셔서 초잉의 커다란 별이 떠나가는구나… 라고 안타까운 마음 뿐이었습니다.
초잉에서 아마 유일하게 A+ 퍼주시는 교수님이라고 들었는데… 안타깝습니다…"
328,138,빵빵1,5,2,2,5,4,"컬스티 교수님 제일 최고입니다!!! 1,2학기 수업을 모두 들을 수 있어서 영광이였습니다. 근데 이제 미국으로 돌아가신다고 하더라고요.. ㅠㅠ"
329,138,이사만루,5,1,1,5,2,"1교시 강의지만 오히려 1교시가 컬스티 교수님 수업이어서 에너지를 얻을 수 있었습니다. 50분 수업이다보니 애초에 수업 시작 시간을 9시20분으로 조정해주셨구요. 중간, 기말 없엇고 중간은 essay 기말은 presentation 대체였습니다. presentation은 essay랑 같은 주제고 수업 시간에 할 수 있는 시간 충분히 주셔서 부담 1도 없어요. 모든 질문 너무너무 친절하게 정성을 다해서 답해주셔서 감사했습니다. office hour에 영어 관련한 모든 거에 대해 친절히 상담해주세요. 1년동안 컬스티 교수님 수업 들어서 너무 좋았습니다. 교수님 미국으로 돌아가셔서 너무 아쉬워요ㅠㅠ"
